id,time_id,site_id,project_id,account_id,variance,budgeted_cost,actual_cost,created_at,created_by,date,day,day_name,month,year,site_name,region,latitude,longitude,project_name,project_manager,status,start_date,end_date,account_name,account_type,budget_category,cost
716,20240130,7,7,2,On Budget,173231,105868,2024-01-30 08:00:00,user_63,2024-01-30,30,Tuesday,1,2024,Site 7,North,53,-79,Project 7,Manager 6,Completed,2023-12-31,2026-02-25,Account 2,CAPEX,Software,1282
463,20240130,8,7,2,Under,154886,148090,2024-01-30 08:00:00,user_20,2024-01-30,30,Tuesday,1,2024,Site 8,West,-34,49,Project 7,Manager 6,Completed,2023-12-31,2026-02-25,Account 2,CAPEX,Software,1282
893,20240131,6,41,2,Under,30504,123586,2024-01-31 08:00:00,user_22,2024-01-31,31,Wednesday,1,2024,Site 6,South,-31,78,Project 41,Manager 4,Active,2024-01-01,2026-02-05,Account 2,CAPEX,Software,1282
308,20240131,2,34,2,Over,180168,16717,2024-01-31 08:00:00,user_53,2024-01-31,31,Wednesday,1,2024,Site 2,South,-33,-109,Project 34,Manager 6,Active,2024-01-01,2026-02-07,Account 2,CAPEX,Software,1282
590,20240201,5,8,2,Over,155134,160409,2024-02-01 08:00:00,user_69,2024-02-01,1,Thursday,2,2024,Site 5,North,-83,-133,Project 8,Manager 4,On Hold,2023-12-19,2026-01-17,Account 2,CAPEX,Software,1282
411,20240202,1,16,2,Under,100414,104395,2024-02-02 08:00:00,user_23,2024-02-02,2,Friday,2,2024,Site 1,North,-84,-40,Project 16,Manager 7,On Hold,2024-01-03,2026-02-09,Account 2,CAPEX,Software,1282
486,20240202,2,16,2,Under,18253,98470,2024-02-02 08:00:00,user_36,2024-02-02,2,Friday,2,2024,Site 2,South,-33,-109,Project 16,Manager 7,On Hold,2024-01-03,2026-02-09,Account 2,CAPEX,Software,1282
761,20240203,19,10,14,Under,163693,90320,2024-02-03 08:00:00,user_70,2024-02-03,3,Saturday,2,2024,Site 19,South,-16,-140,Project 10,Manager 5,Active,2023-12-02,2024-11-16,Account 14,CAPEX,Hardware,78924
631,20240204,4,10,14,On Budget,158451,70488,2024-02-04 08:00:00,user_69,2024-02-04,4,Sunday,2,2024,Site 4,North,61,36,Project 10,Manager 5,Active,2023-12-02,2024-11-16,Account 14,CAPEX,Hardware,78924
763,20240204,17,9,14,Over,177027,152070,2024-02-04 08:00:00,user_41,2024-02-04,4,Sunday,2,2024,Site 17,East,57,-82,Project 9,Manager 8,Completed,2023-12-03,2025-06-29,Account 14,CAPEX,Hardware,78924
77,20240205,6,38,14,On Budget,133902,27918,2024-02-05 08:00:00,user_45,2024-02-05,5,Monday,2,2024,Site 6,South,-31,78,Project 38,Manager 5,On Hold,2023-12-04,2025-09-17,Account 14,CAPEX,Hardware,78924
1143,20240206,5,38,14,Over,84996,78313,2024-02-06 08:00:00,user_24,2024-02-06,6,Tuesday,2,2024,Site 5,North,-83,-133,Project 38,Manager 5,On Hold,2023-12-04,2025-09-17,Account 14,CAPEX,Hardware,78924
331,20240206,1,19,14,Under,27203,194013,2024-02-06 08:00:00,user_32,2024-02-06,6,Tuesday,2,2024,Site 1,North,-84,-40,Project 19,Manager 5,Completed,2023-12-05,2026-01-21,Account 14,CAPEX,Hardware,78924
1123,20240207,17,19,14,Under,183486,187707,2024-02-07 08:00:00,user_39,2024-02-07,7,Wednesday,2,2024,Site 17,East,57,-82,Project 19,Manager 5,Completed,2023-12-05,2026-01-21,Account 14,CAPEX,Hardware,78924
281,20240207,2,19,14,Over,40501,204757,2024-02-07 08:00:00,user_94,2024-02-07,7,Wednesday,2,2024,Site 2,South,-33,-109,Project 19,Manager 5,Completed,2023-12-05,2026-01-21,Account 14,CAPEX,Hardware,78924
247,20240208,15,21,14,Over,113255,185010,2024-02-08 08:00:00,user_53,2024-02-08,8,Thursday,2,2024,Site 15,North,6,-140,Project 21,Manager 3,On Hold,2023-12-21,2026-02-10,Account 14,CAPEX,Hardware,78924
1064,20240209,17,21,14,Over,87717,197165,2024-02-09 08:00:00,user_98,2024-02-09,9,Friday,2,2024,Site 17,East,57,-82,Project 21,Manager 3,On Hold,2023-12-21,2026-02-10,Account 14,CAPEX,Hardware,78924
714,20240209,10,21,14,On Budget,89416,32957,2024-02-09 08:00:00,user_67,2024-02-09,9,Friday,2,2024,Site 10,West,-3,-38,Project 21,Manager 3,On Hold,2023-12-21,2026-02-10,Account 14,CAPEX,Hardware,78924
650,20240210,8,21,14,Under,140398,144417,2024-02-10 08:00:00,user_90,2024-02-10,10,Saturday,2,2024,Site 8,West,-34,49,Project 21,Manager 3,On Hold,2023-12-21,2026-02-10,Account 14,CAPEX,Hardware,78924
4,20240211,18,46,14,On Budget,7534,33327,2024-02-11 08:00:00,user_89,2024-02-11,11,Sunday,2,2024,Site 18,North,-79,158,Project 46,Manager 8,Active,2024-01-12,2026-01-23,Account 14,CAPEX,Hardware,78924
342,20240211,5,46,14,Under,24389,121720,2024-02-11 08:00:00,user_62,2024-02-11,11,Sunday,2,2024,Site 5,North,-83,-133,Project 46,Manager 8,Active,2024-01-12,2026-01-23,Account 14,CAPEX,Hardware,78924
524,20240212,12,46,14,Under,47040,14329,2024-02-12 08:00:00,user_64,2024-02-12,12,Monday,2,2024,Site 12,North,-67,14,Project 46,Manager 8,Active,2024-01-12,2026-01-23,Account 14,CAPEX,Hardware,78924
1057,20240213,13,46,14,On Budget,161551,71168,2024-02-13 08:00:00,user_13,2024-02-13,13,Tuesday,2,2024,Site 13,North,1,-4,Project 46,Manager 8,Active,2024-01-12,2026-01-23,Account 14,CAPEX,Hardware,78924
770,20240213,8,3,14,Over,75741,112277,2024-02-13 08:00:00,user_96,2024-02-13,13,Tuesday,2,2024,Site 8,West,-34,49,Project 3,Manager 2,On Hold,2024-01-14,2026-02-11,Account 14,CAPEX,Hardware,78924
735,20240214,12,28,14,Over,64432,199999,2024-02-14 08:00:00,user_78,2024-02-14,14,Wednesday,2,2024,Site 12,North,-67,14,Project 28,Manager 9,Active,2023-12-07,2026-02-15,Account 14,CAPEX,Hardware,78924
32,20240214,18,30,14,Over,59220,114138,2024-02-14 08:00:00,user_99,2024-02-14,14,Wednesday,2,2024,Site 18,North,-79,158,Project 30,Manager 10,Completed,2024-01-15,2026-01-04,Account 14,CAPEX,Hardware,78924
49,20240215,16,30,14,On Budget,160313,74358,2024-02-15 08:00:00,user_32,2024-02-15,15,Thursday,2,2024,Site 16,East,70,136,Project 30,Manager 10,Completed,2024-01-15,2026-01-04,Account 14,CAPEX,Hardware,78924
293,20240216,11,45,14,Under,44116,82613,2024-02-16 08:00:00,user_24,2024-02-16,16,Friday,2,2024,Site 11,South,-35,-8,Project 45,Manager 4,Active,2024-01-17,2026-02-17,Account 14,CAPEX,Hardware,78924
329,20240216,3,12,14,Under,151010,149421,2024-02-16 08:00:00,user_53,2024-02-16,16,Friday,2,2024,Site 3,North,83,99,Project 12,Manager 10,Completed,2023-12-10,2026-01-26,Account 14,CAPEX,Hardware,78924
800,20240217,7,40,14,Under,16925,91501,2024-02-17 08:00:00,user_72,2024-02-17,17,Saturday,2,2024,Site 7,North,53,-79,Project 40,Manager 8,Active,2023-12-11,2025-12-14,Account 14,CAPEX,Hardware,78924
464,20240218,12,1,14,Over,82214,177544,2024-02-18 08:00:00,user_77,2024-02-18,18,Sunday,2,2024,Site 12,North,-67,14,Project 1,Manager 5,Completed,2023-12-12,2026-02-18,Account 14,CAPEX,Hardware,78924
295,20240218,18,27,14,On Budget,143934,39151,2024-02-18 08:00:00,user_32,2024-02-18,18,Sunday,2,2024,Site 18,North,-79,158,Project 27,Manager 2,Active,2023-12-12,2026-02-19,Account 14,CAPEX,Hardware,78924
765,20240219,11,27,14,Under,121130,199457,2024-02-19 08:00:00,user_95,2024-02-19,19,Monday,2,2024,Site 11,South,-35,-8,Project 27,Manager 2,Active,2023-12-12,2026-02-19,Account 14,CAPEX,Hardware,78924
147,20240220,4,23,14,Over,79251,181790,2024-02-20 08:00:00,user_76,2024-02-20,20,Tuesday,2,2024,Site 4,North,61,36,Project 23,Manager 6,Active,2024-01-21,2025-12-15,Account 14,CAPEX,Hardware,78924
56,20240220,17,23,14,On Budget,149281,90714,2024-02-20 08:00:00,user_90,2024-02-20,20,Tuesday,2,2024,Site 17,East,57,-82,Project 23,Manager 6,Active,2024-01-21,2025-12-15,Account 14,CAPEX,Hardware,78924
1080,20240221,19,39,14,Over,115765,100530,2024-02-21 08:00:00,user_24,2024-02-21,21,Wednesday,2,2024,Site 19,South,-16,-140,Project 39,Manager 9,Active,2023-12-13,2026-01-28,Account 14,CAPEX,Hardware,78924
13,20240221,4,39,14,Under,195983,86228,2024-02-21 08:00:00,user_78,2024-02-21,21,Wednesday,2,2024,Site 4,North,61,36,Project 39,Manager 9,Active,2023-12-13,2026-01-28,Account 14,CAPEX,Hardware,78924
46,20240222,12,35,14,On Budget,102142,22076,2024-02-22 08:00:00,user_83,2024-02-22,22,Thursday,2,2024,Site 12,North,-67,14,Project 35,Manager 10,Active,2024-01-23,2026-02-21,Account 14,CAPEX,Hardware,78924
491,20240223,9,42,14,On Budget,10256,208551,2024-02-23 08:00:00,user_2,2024-02-23,23,Friday,2,2024,Site 9,East,-89,-99,Project 42,Manager 6,Completed,2023-12-14,2026-01-29,Account 14,CAPEX,Hardware,78924
809,20240223,2,18,14,Over,135299,66296,2024-02-23 08:00:00,user_58,2024-02-23,23,Friday,2,2024,Site 2,South,-33,-109,Project 18,Manager 9,Completed,2023-12-15,2026-02-21,Account 14,CAPEX,Hardware,78924
35,20240224,8,18,14,Under,12608,105936,2024-02-24 08:00:00,user_86,2024-02-24,24,Saturday,2,2024,Site 8,West,-34,49,Project 18,Manager 9,Completed,2023-12-15,2026-02-21,Account 14,CAPEX,Hardware,78924
135,20240225,3,6,14,Over,198670,101687,2024-02-25 08:00:00,user_72,2024-02-25,25,Sunday,2,2024,Site 3,North,83,99,Project 6,Manager 6,Active,2023-12-27,2026-01-30,Account 14,CAPEX,Hardware,78924
201,20240225,14,6,14,On Budget,52305,146992,2024-02-25 08:00:00,user_42,2024-02-25,25,Sunday,2,2024,Site 14,East,-79,55,Project 6,Manager 6,Active,2023-12-27,2026-01-30,Account 14,CAPEX,Hardware,78924
917,20240226,8,6,14,On Budget,133244,60739,2024-02-26 08:00:00,user_61,2024-02-26,26,Monday,2,2024,Site 8,West,-34,49,Project 6,Manager 6,Active,2023-12-27,2026-01-30,Account 14,CAPEX,Hardware,78924
154,20240227,12,6,14,Over,68783,118209,2024-02-27 08:00:00,user_52,2024-02-27,27,Tuesday,2,2024,Site 12,North,-67,14,Project 6,Manager 6,Active,2023-12-27,2026-01-30,Account 14,CAPEX,Hardware,78924
1101,20240227,17,2,14,On Budget,87798,149032,2024-02-27 08:00:00,user_35,2024-02-27,27,Tuesday,2,2024,Site 17,East,57,-82,Project 2,Manager 6,Completed,2023-12-29,2026-01-30,Account 14,CAPEX,Hardware,78924
183,20240228,12,2,14,Over,108928,135598,2024-02-28 08:00:00,user_31,2024-02-28,28,Wednesday,2,2024,Site 12,North,-67,14,Project 2,Manager 6,Completed,2023-12-29,2026-01-30,Account 14,CAPEX,Hardware,78924
1041,20240228,16,48,14,Under,193058,114720,2024-02-28 08:00:00,user_21,2024-02-28,28,Wednesday,2,2024,Site 16,East,70,136,Project 48,Manager 8,On Hold,2024-01-29,2026-02-22,Account 14,CAPEX,Hardware,78924
150,20240229,16,48,14,Over,38865,103669,2024-02-29 08:00:00,user_91,2024-02-29,29,Thursday,2,2024,Site 16,East,70,136,Project 48,Manager 8,On Hold,2024-01-29,2026-02-22,Account 14,CAPEX,Hardware,78924
956,20240301,15,48,14,Under,80663,46936,2024-03-01 08:00:00,user_94,2024-03-01,1,Friday,3,2024,Site 15,North,6,-140,Project 48,Manager 8,On Hold,2024-01-29,2026-02-22,Account 14,CAPEX,Hardware,78924
1046,20240301,20,44,14,Under,123355,129400,2024-03-01 08:00:00,user_34,2024-03-01,1,Friday,3,2024,Site 20,South,-65,14,Project 44,Manager 7,On Hold,2024-01-31,2026-02-23,Account 14,CAPEX,Hardware,78924
581,20240302,7,44,14,Over,58891,144969,2024-03-02 08:00:00,user_83,2024-03-02,2,Saturday,3,2024,Site 7,North,53,-79,Project 44,Manager 7,On Hold,2024-01-31,2026-02-23,Account 14,CAPEX,Hardware,78924
273,20240303,20,24,14,On Budget,148978,127424,2024-03-03 08:00:00,user_86,2024-03-03,3,Sunday,3,2024,Site 20,South,-65,14,Project 24,Manager 1,On Hold,2023-12-18,2026-02-23,Account 14,CAPEX,Hardware,78924
98,20240303,12,24,14,Over,69014,143242,2024-03-03 08:00:00,user_73,2024-03-03,3,Sunday,3,2024,Site 12,North,-67,14,Project 24,Manager 1,On Hold,2023-12-18,2026-02-23,Account 14,CAPEX,Hardware,78924
743,20240304,9,50,14,Under,184499,154999,2024-03-04 08:00:00,user_15,2024-03-04,4,Monday,3,2024,Site 9,East,-89,-99,Project 50,Manager 3,Completed,2024-02-03,2026-02-04,Account 14,CAPEX,Hardware,78924
400,20240305,17,50,14,Under,188975,109454,2024-03-05 08:00:00,user_82,2024-03-05,5,Tuesday,3,2024,Site 17,East,57,-82,Project 50,Manager 3,Completed,2024-02-03,2026-02-04,Account 14,CAPEX,Hardware,78924
84,20240305,1,36,14,Over,63903,33743,2024-03-05 08:00:00,user_16,2024-03-05,5,Tuesday,3,2024,Site 1,North,-84,-40,Project 36,Manager 1,Active,2024-02-04,2026-02-26,Account 14,CAPEX,Hardware,78924
1138,20240306,16,41,14,Under,185621,132330,2024-03-06 08:00:00,user_21,2024-03-06,6,Wednesday,3,2024,Site 16,East,70,136,Project 41,Manager 4,Active,2024-01-01,2026-02-05,Account 14,CAPEX,Hardware,78924
510,20240306,14,41,14,Under,117466,129147,2024-03-06 08:00:00,user_1,2024-03-06,6,Wednesday,3,2024,Site 14,East,-79,55,Project 41,Manager 4,Active,2024-01-01,2026-02-05,Account 14,CAPEX,Hardware,78924
626,20240307,14,34,14,Under,16387,186882,2024-03-07 08:00:00,user_55,2024-03-07,7,Thursday,3,2024,Site 14,East,-79,55,Project 34,Manager 6,Active,2024-01-01,2026-02-07,Account 14,CAPEX,Hardware,78924
1084,20240308,8,34,14,Under,154038,16511,2024-03-08 08:00:00,user_10,2024-03-08,8,Friday,3,2024,Site 8,West,-34,49,Project 34,Manager 6,Active,2024-01-01,2026-02-07,Account 14,CAPEX,Hardware,78924
278,20240308,5,33,14,Under,152825,19135,2024-03-08 08:00:00,user_60,2024-03-08,8,Friday,3,2024,Site 5,North,-83,-133,Project 33,Manager 2,Active,2024-02-07,2026-03-01,Account 14,CAPEX,Hardware,78924
679,20240309,20,10,3,On Budget,107195,85099,2024-03-09 08:00:00,user_32,2024-03-09,9,Saturday,3,2024,Site 20,South,-65,14,Project 10,Manager 5,Active,2023-12-02,2024-11-16,Account 3,OPEX,Software,60638
526,20240310,16,10,3,On Budget,24673,193677,2024-03-10 08:00:00,user_33,2024-03-10,10,Sunday,3,2024,Site 16,East,70,136,Project 10,Manager 5,Active,2023-12-02,2024-11-16,Account 3,OPEX,Software,60638
333,20240310,16,10,3,Over,118947,76341,2024-03-10 08:00:00,user_39,2024-03-10,10,Sunday,3,2024,Site 16,East,70,136,Project 10,Manager 5,Active,2023-12-02,2024-11-16,Account 3,OPEX,Software,60638
206,20240311,2,9,3,Over,174125,100030,2024-03-11 08:00:00,user_50,2024-03-11,11,Monday,3,2024,Site 2,South,-33,-109,Project 9,Manager 8,Completed,2023-12-03,2025-06-29,Account 3,OPEX,Software,60638
1010,20240312,10,38,3,On Budget,22170,83930,2024-03-12 08:00:00,user_44,2024-03-12,12,Tuesday,3,2024,Site 10,West,-3,-38,Project 38,Manager 5,On Hold,2023-12-04,2025-09-17,Account 3,OPEX,Software,60638
651,20240312,8,19,3,Under,181605,200290,2024-03-12 08:00:00,user_10,2024-03-12,12,Tuesday,3,2024,Site 8,West,-34,49,Project 19,Manager 5,Completed,2023-12-05,2026-01-21,Account 3,OPEX,Software,60638
415,20240313,10,21,3,On Budget,124733,6089,2024-03-13 08:00:00,user_26,2024-03-13,13,Wednesday,3,2024,Site 10,West,-3,-38,Project 21,Manager 3,On Hold,2023-12-21,2026-02-10,Account 3,OPEX,Software,60638
171,20240313,20,46,3,Under,151518,102744,2024-03-13 08:00:00,user_43,2024-03-13,13,Wednesday,3,2024,Site 20,South,-65,14,Project 46,Manager 8,Active,2024-01-12,2026-01-23,Account 3,OPEX,Software,60638
255,20240314,10,46,3,Under,120966,175959,2024-03-14 08:00:00,user_96,2024-03-14,14,Thursday,3,2024,Site 10,West,-3,-38,Project 46,Manager 8,Active,2024-01-12,2026-01-23,Account 3,OPEX,Software,60638
689,20240315,8,17,3,Under,168924,66799,2024-03-15 08:00:00,user_98,2024-03-15,15,Friday,3,2024,Site 8,West,-34,49,Project 17,Manager 5,On Hold,2024-02-14,2026-02-12,Account 3,OPEX,Software,60638
471,20240315,16,20,3,Under,192250,13103,2024-03-15 08:00:00,user_74,2024-03-15,15,Friday,3,2024,Site 16,East,70,136,Project 20,Manager 1,On Hold,2023-12-06,2026-01-24,Account 3,OPEX,Software,60638
