equipment_usage_id,time_id,date,day,day_name,month,year,site_name,region,latitude,longitude,equipment_name,equipment_type,manufacture,model,capacity,purchase_date,operating_hours,downtime_hours,fuel_consumption,maintenance_cost,created_at,created_by
11,20240107,2024-01-07,7,Sunday,1,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,280,7,1452,658030,2024-01-07 08:00:00,IoT
12,20240108,2024-01-08,8,Monday,1,2024,Area Tambang C,Papua,-4.1234,138.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,320,16,1661,554052,2024-01-08 08:00:00,IoT
13,20240109,2024-01-09,9,Tuesday,1,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,304,24,1417,662281,2024-01-09 08:00:00,IoT
14,20240109,2024-01-09,9,Tuesday,1,2024,Area Tambang C,Papua,-4.1234,138.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,305,3,1589,522178,2024-01-09 08:00:00,IoT
15,20240110,2024-01-10,10,Wednesday,1,2024,Quarry A,Sumatera,-5.1234,105.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,336,23,1819,762034,2024-01-10 08:00:00,IoT
16,20240111,2024-01-11,11,Thursday,1,2024,Area Tambang C,Papua,-4.1234,138.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,305,22,1405,670272,2024-01-11 08:00:00,IoT
17,20240111,2024-01-11,11,Thursday,1,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,305,16,1823,605502,2024-01-11 08:00:00,IoT
18,20240112,2024-01-12,12,Friday,1,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,250,13,1402,578202,2024-01-12 08:00:00,IoT
19,20240112,2024-01-12,12,Friday,1,2024,Area Tambang C,Papua,-4.1234,138.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,264,19,1630,659782,2024-01-12 08:00:00,IoT
20,20240113,2024-01-13,13,Saturday,1,2024,Area Tambang C,Papua,-4.1234,138.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,346,7,1675,673872,2024-01-13 08:00:00,IoT
21,20240114,2024-01-14,14,Sunday,1,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,298,23,1539,639506,2024-01-14 08:00:00,IoT
22,20240114,2024-01-14,14,Sunday,1,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,297,22,1489,518556,2024-01-14 08:00:00,IoT
23,20240115,2024-01-15,15,Monday,1,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,309,17,1825,585801,2024-01-15 08:00:00,IoT
24,20240116,2024-01-16,16,Tuesday,1,2024,Area Tambang C,Papua,-4.1234,138.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,337,5,1628,734519,2024-01-16 08:00:00,IoT
25,20240116,2024-01-16,16,Tuesday,1,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,272,5,1329,593324,2024-01-16 08:00:00,IoT
26,20240117,2024-01-17,17,Wednesday,1,2024,Quarry A,Sumatera,-5.1234,105.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,304,20,1396,471297,2024-01-17 08:00:00,IoT
27,20240118,2024-01-18,18,Thursday,1,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,308,22,1546,598691,2024-01-18 08:00:00,IoT
28,20240118,2024-01-18,18,Thursday,1,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,263,13,1615,654264,2024-01-18 08:00:00,IoT
29,20240119,2024-01-19,19,Friday,1,2024,Quarry A,Sumatera,-5.1234,105.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,262,17,1220,414944,2024-01-19 08:00:00,IoT
30,20240119,2024-01-19,19,Friday,1,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,260,15,1386,447740,2024-01-19 08:00:00,IoT
31,20240120,2024-01-20,20,Saturday,1,2024,Area Tambang C,Papua,-4.1234,138.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,306,13,2123,875452,2024-01-20 08:00:00,IoT
32,20240121,2024-01-21,21,Sunday,1,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,349,24,1945,832118,2024-01-21 08:00:00,IoT
33,20240121,2024-01-21,21,Sunday,1,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,281,12,1520,674149,2024-01-21 08:00:00,IoT
34,20240122,2024-01-22,22,Monday,1,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,350,20,1866,744417,2024-01-22 08:00:00,IoT
35,20240123,2024-01-23,23,Tuesday,1,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,352,23,1665,825981,2024-01-23 08:00:00,IoT
36,20240123,2024-01-23,23,Tuesday,1,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,286,8,1209,445052,2024-01-23 08:00:00,IoT
37,20240124,2024-01-24,24,Wednesday,1,2024,Area Tambang C,Papua,-4.1234,138.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,282,5,1415,472123,2024-01-24 08:00:00,IoT
38,20240125,2024-01-25,25,Thursday,1,2024,Quarry A,Sumatera,-5.1234,105.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,309,13,1469,359895,2024-01-25 08:00:00,IoT
39,20240125,2024-01-25,25,Thursday,1,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,298,8,1596,680872,2024-01-25 08:00:00,IoT
40,20240126,2024-01-26,26,Friday,1,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,261,14,1424,361453,2024-01-26 08:00:00,IoT
41,20240126,2024-01-26,26,Friday,1,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,288,17,1656,749384,2024-01-26 08:00:00,IoT
42,20240127,2024-01-27,27,Saturday,1,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,279,14,1700,845899,2024-01-27 08:00:00,IoT
43,20240128,2024-01-28,28,Sunday,1,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,299,19,1444,600211,2024-01-28 08:00:00,IoT
44,20240128,2024-01-28,28,Sunday,1,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,311,4,1654,672560,2024-01-28 08:00:00,IoT
45,20240129,2024-01-29,29,Monday,1,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,335,12,1652,820485,2024-01-29 08:00:00,IoT
46,20240130,2024-01-30,30,Tuesday,1,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,328,5,1862,627253,2024-01-30 08:00:00,IoT
47,20240130,2024-01-30,30,Tuesday,1,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,326,4,1478,413982,2024-01-30 08:00:00,IoT
48,20240131,2024-01-31,31,Wednesday,1,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,315,10,1797,592784,2024-01-31 08:00:00,IoT
49,20240131,2024-01-31,31,Wednesday,1,2024,Area Tambang C,Papua,-4.1234,138.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,333,7,1582,675788,2024-01-31 08:00:00,IoT
50,20240201,2024-02-01,1,Thursday,2,2024,Quarry A,Sumatera,-5.1234,105.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,358,25,1841,622767,2024-02-01 08:00:00,IoT
51,20240202,2024-02-02,2,Friday,2,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,240,9,1240,354981,2024-02-02 08:00:00,IoT
52,20240202,2024-02-02,2,Friday,2,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,307,12,1416,379146,2024-02-02 08:00:00,IoT
53,20240203,2024-02-03,3,Saturday,2,2024,Area Tambang C,Papua,-4.1234,138.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,283,22,1461,720109,2024-02-03 08:00:00,IoT
54,20240204,2024-02-04,4,Sunday,2,2024,Quarry A,Sumatera,-5.1234,105.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,333,23,1527,781046,2024-02-04 08:00:00,IoT
55,20240204,2024-02-04,4,Sunday,2,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,305,3,1536,752710,2024-02-04 08:00:00,IoT
56,20240205,2024-02-05,5,Monday,2,2024,Area Tambang C,Papua,-4.1234,138.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,296,24,1606,698206,2024-02-05 08:00:00,IoT
57,20240206,2024-02-06,6,Tuesday,2,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,304,19,1869,835255,2024-02-06 08:00:00,IoT
58,20240206,2024-02-06,6,Tuesday,2,2024,Quarry A,Sumatera,-5.1234,105.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,325,15,1540,422824,2024-02-06 08:00:00,IoT
59,20240207,2024-02-07,7,Wednesday,2,2024,Area Tambang C,Papua,-4.1234,138.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,302,10,1982,735420,2024-02-07 08:00:00,IoT
60,20240207,2024-02-07,7,Wednesday,2,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,313,4,2195,874335,2024-02-07 08:00:00,IoT
61,20240208,2024-02-08,8,Thursday,2,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,352,18,1689,793596,2024-02-08 08:00:00,IoT
62,20240209,2024-02-09,9,Friday,2,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,264,12,1683,839955,2024-02-09 08:00:00,IoT
63,20240209,2024-02-09,9,Friday,2,2024,Quarry A,Sumatera,-5.1234,105.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,316,19,1510,765463,2024-02-09 08:00:00,IoT
64,20240210,2024-02-10,10,Saturday,2,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,286,14,1318,500193,2024-02-10 08:00:00,IoT
65,20240211,2024-02-11,11,Sunday,2,2024,Quarry A,Sumatera,-5.1234,105.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,342,14,1939,765260,2024-02-11 08:00:00,IoT
66,20240211,2024-02-11,11,Sunday,2,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,356,18,1997,877752,2024-02-11 08:00:00,IoT
67,20240212,2024-02-12,12,Monday,2,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,359,5,1865,689838,2024-02-12 08:00:00,IoT
68,20240213,2024-02-13,13,Tuesday,2,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,307,12,1554,594611,2024-02-13 08:00:00,IoT
69,20240213,2024-02-13,13,Tuesday,2,2024,Quarry A,Sumatera,-5.1234,105.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,300,17,1569,655000,2024-02-13 08:00:00,IoT
70,20240214,2024-02-14,14,Wednesday,2,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,280,4,1527,584311,2024-02-14 08:00:00,IoT
71,20240214,2024-02-14,14,Wednesday,2,2024,Area Tambang C,Papua,-4.1234,138.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,295,4,1340,517633,2024-02-14 08:00:00,IoT
72,20240215,2024-02-15,15,Thursday,2,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,351,24,1986,969004,2024-02-15 08:00:00,IoT
73,20240216,2024-02-16,16,Friday,2,2024,Quarry A,Sumatera,-5.1234,105.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,314,7,1655,829728,2024-02-16 08:00:00,IoT
74,20240216,2024-02-16,16,Friday,2,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,346,4,1985,900725,2024-02-16 08:00:00,IoT
75,20240217,2024-02-17,17,Saturday,2,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,357,5,1989,895042,2024-02-17 08:00:00,IoT
76,20240218,2024-02-18,18,Sunday,2,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,286,11,1403,432414,2024-02-18 08:00:00,IoT
77,20240218,2024-02-18,18,Sunday,2,2024,Quarry A,Sumatera,-5.1234,105.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,327,15,1447,761642,2024-02-18 08:00:00,IoT
78,20240219,2024-02-19,19,Monday,2,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,296,17,1598,636466,2024-02-19 08:00:00,IoT
79,20240220,2024-02-20,20,Tuesday,2,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,344,7,1851,654951,2024-02-20 08:00:00,IoT
80,20240220,2024-02-20,20,Tuesday,2,2024,Quarry A,Sumatera,-5.1234,105.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,281,24,1527,446027,2024-02-20 08:00:00,IoT
81,20240221,2024-02-21,21,Wednesday,2,2024,Area Tambang C,Papua,-4.1234,138.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,344,20,2163,734046,2024-02-21 08:00:00,IoT
82,20240221,2024-02-21,21,Wednesday,2,2024,Area Tambang C,Papua,-4.1234,138.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,305,14,1681,691273,2024-02-21 08:00:00,IoT
83,20240222,2024-02-22,22,Thursday,2,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,292,18,1435,624117,2024-02-22 08:00:00,IoT
84,20240223,2024-02-23,23,Friday,2,2024,Area Tambang C,Papua,-4.1234,138.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,287,7,1439,560675,2024-02-23 08:00:00,IoT
85,20240223,2024-02-23,23,Friday,2,2024,Quarry A,Sumatera,-5.1234,105.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,299,16,1501,750958,2024-02-23 08:00:00,IoT
86,20240224,2024-02-24,24,Saturday,2,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,249,5,1264,433106,2024-02-24 08:00:00,IoT
87,20240225,2024-02-25,25,Sunday,2,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,366,20,1976,767284,2024-02-25 08:00:00,IoT
88,20240225,2024-02-25,25,Sunday,2,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,309,4,1533,826816,2024-02-25 08:00:00,IoT
89,20240226,2024-02-26,26,Monday,2,2024,Quarry A,Sumatera,-5.1234,105.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,259,13,1355,393163,2024-02-26 08:00:00,IoT
90,20240227,2024-02-27,27,Tuesday,2,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,282,11,1632,748923,2024-02-27 08:00:00,IoT
91,20240227,2024-02-27,27,Tuesday,2,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,275,22,1264,513845,2024-02-27 08:00:00,IoT
92,20240228,2024-02-28,28,Wednesday,2,2024,Quarry A,Sumatera,-5.1234,105.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,261,24,1497,390421,2024-02-28 08:00:00,IoT
93,20240228,2024-02-28,28,Wednesday,2,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,283,5,1488,360798,2024-02-28 08:00:00,IoT
94,20240229,2024-02-29,29,Thursday,2,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,273,16,1307,551053,2024-02-29 08:00:00,IoT
95,20240301,2024-03-01,1,Friday,3,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,311,23,1560,786039,2024-03-01 08:00:00,IoT
96,20240301,2024-03-01,1,Friday,3,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,311,17,1675,812909,2024-03-01 08:00:00,IoT
97,20240302,2024-03-02,2,Saturday,3,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,290,17,1512,717905,2024-03-02 08:00:00,IoT
98,20240303,2024-03-03,3,Sunday,3,2024,Area Tambang C,Papua,-4.1234,138.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,258,13,1360,575833,2024-03-03 08:00:00,IoT
99,20240303,2024-03-03,3,Sunday,3,2024,Area Tambang C,Papua,-4.1234,138.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,278,6,1489,669997,2024-03-03 08:00:00,IoT
100,20240304,2024-03-04,4,Monday,3,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,277,7,1436,635717,2024-03-04 08:00:00,IoT
101,20240305,2024-03-05,5,Tuesday,3,2024,Quarry A,Sumatera,-5.1234,105.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,360,8,1796,769223,2024-03-05 08:00:00,IoT
102,20240305,2024-03-05,5,Tuesday,3,2024,Area Tambang C,Papua,-4.1234,138.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,280,18,1297,550047,2024-03-05 08:00:00,IoT
103,20240306,2024-03-06,6,Wednesday,3,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,326,5,1457,660765,2024-03-06 08:00:00,IoT
104,20240306,2024-03-06,6,Wednesday,3,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,285,4,1410,585018,2024-03-06 08:00:00,IoT
105,20240307,2024-03-07,7,Thursday,3,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,300,6,1346,490690,2024-03-07 08:00:00,IoT
106,20240308,2024-03-08,8,Friday,3,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,346,4,1787,761421,2024-03-08 08:00:00,IoT
107,20240308,2024-03-08,8,Friday,3,2024,Quarry A,Sumatera,-5.1234,105.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,264,5,1385,495024,2024-03-08 08:00:00,IoT
108,20240309,2024-03-09,9,Saturday,3,2024,Tambang Nikel E,Maluku,-2.789,129.4567,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,318,24,1581,546654,2024-03-09 08:00:00,IoT
109,20240310,2024-03-10,10,Sunday,3,2024,Quarry A,Sumatera,-5.1234,105.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,266,13,1600,795663,2024-03-10 08:00:00,IoT
110,20240310,2024-03-10,10,Sunday,3,2024,Area Tambang C,Papua,-4.1234,138.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,272,19,1654,866926,2024-03-10 08:00:00,IoT
111,20240311,2024-03-11,11,Monday,3,2024,Quarry A,Sumatera,-5.1234,105.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,288,18,1582,674609,2024-03-11 08:00:00,IoT
112,20240312,2024-03-12,12,Tuesday,3,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,298,22,1631,673285,2024-03-12 08:00:00,IoT
113,20240312,2024-03-12,12,Tuesday,3,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,309,19,1453,576356,2024-03-12 08:00:00,IoT
114,20240313,2024-03-13,13,Wednesday,3,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,338,13,2043,708722,2024-03-13 08:00:00,IoT
115,20240313,2024-03-13,13,Wednesday,3,2024,Quarry A,Sumatera,-5.1234,105.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,307,18,1457,413970,2024-03-13 08:00:00,IoT
116,20240314,2024-03-14,14,Thursday,3,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,269,8,1226,502967,2024-03-14 08:00:00,IoT
117,20240315,2024-03-15,15,Friday,3,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,348,21,1875,826980,2024-03-15 08:00:00,IoT
118,20240315,2024-03-15,15,Friday,3,2024,Quarry A,Sumatera,-5.1234,105.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,261,7,1612,764465,2024-03-15 08:00:00,IoT
119,20240316,2024-03-16,16,Saturday,3,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2022-01-12,286,4,1628,847257,2024-03-16 08:00:00,IoT
120,20240317,2024-03-17,17,Sunday,3,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,266,18,1487,435209,2024-03-17 08:00:00,IoT
121,20240317,2024-03-17,17,Sunday,3,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,311,20,1835,829512,2024-03-17 08:00:00,IoT
